variable,clay_fraction,clay_fraction,clay_fraction,climate_KG,climate_KG,climate_KG,climate_insitu,climate_insitu,climate_insitu,elevation,elevation,elevation,instrument,instrument,instrument,latitude,latitude,latitude,lc_2000,lc_2000,lc_2000,lc_2005,lc_2005,lc_2005,lc_2010,lc_2010,lc_2010,lc_insitu,lc_insitu,lc_insitu,longitude,longitude,longitude,network,network,network,organic_carbon,organic_carbon,organic_carbon,sand_fraction,sand_fraction,sand_fraction,saturation,saturation,saturation,silt_fraction,silt_fraction,silt_fraction,station,station,station,timerange_from,timerange_from,timerange_from,timerange_to,timerange_to,timerange_to,variable,variable,variable,file_path,file_type
key,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,depth_from,depth_to,val,val,val
0,0.0,0.3,5.0,,,BSh,,,unknown,,,208.0,0.05,0.05,CS616-1,,,13.5325,,,10,,,10,,,10,,,unknown,,,2.6604,,,AMMA-CATCH,0.0,0.3,0.35,0.0,0.3,90.0,0.0,0.3,0.42,0.0,0.3,5.0,,,Banizoumbou,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,0.05,0.05,soil_moisture,AMMA-CATCH/Banizoumbou/AMMA-CATCH_AMMA-CATCH_Banizoumbou_sm_0.050000_0.050000_CS616-1_20171005_20190311.stm,header_values
1,0.0,0.3,5.0,,,BSh,,,unknown,,,208.0,0.05,0.05,CS616-2,,,13.5325,,,10,,,10,,,10,,,unknown,,,2.6604,,,AMMA-CATCH,0.0,0.3,0.35,0.0,0.3,90.0,0.0,0.3,0.42,0.0,0.3,5.0,,,Banizoumbou,,,2017-10-05 00:00:00,,,2018-12-31 23:00:00,0.05,0.05,soil_moisture,AMMA-CATCH/Banizoumbou/AMMA-CATCH_AMMA-CATCH_Banizoumbou_sm_0.050000_0.050000_CS616-2_20171005_20190311.stm,header_values
2,0.0,0.3,22.0,,,Aw,,,unknown,,,414.0,0.05,0.05,CS616,,,9.79506,,,62,,,62,,,62,,,unknown,,,1.70994,,,AMMA-CATCH,0.0,0.3,1.01,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,29.0,,,Belefoungou-Mid,,,2017-10-05 00:00:00,,,2017-11-10 11:00:00,0.05,0.05,soil_moisture,AMMA-CATCH/Belefoungou-Mid/AMMA-CATCH_AMMA-CATCH_Belefoungou-Mid_sm_0.050000_0.050000_CS616_20171005_20190311.stm,header_values
3,0.0,0.3,22.0,,,Aw,,,unknown,,,414.0,0.1,0.1,CS616,,,9.79506,,,62,,,62,,,62,,,unknown,,,1.70994,,,AMMA-CATCH,0.0,0.3,1.01,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,29.0,,,Belefoungou-Mid,,,2017-10-05 00:00:00,,,2017-11-10 11:00:00,0.1,0.1,soil_moisture,AMMA-CATCH/Belefoungou-Mid/AMMA-CATCH_AMMA-CATCH_Belefoungou-Mid_sm_0.100000_0.100000_CS616_20171005_20190311.stm,header_values
4,0.0,0.3,22.0,,,Aw,,,unknown,,,414.0,0.2,0.2,CS616,,,9.79506,,,62,,,62,,,62,,,unknown,,,1.70994,,,AMMA-CATCH,0.0,0.3,1.01,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,29.0,,,Belefoungou-Mid,,,2017-10-05 00:00:00,,,2017-11-10 11:00:00,0.2,0.2,soil_moisture,AMMA-CATCH/Belefoungou-Mid/AMMA-CATCH_AMMA-CATCH_Belefoungou-Mid_sm_0.200000_0.200000_CS616_20171005_20190311.stm,header_values
5,0.3,1.0,32.0,,,Aw,,,unknown,,,414.0,0.4,0.4,CS616,,,9.79506,,,62,,,62,,,62,,,unknown,,,1.70994,,,AMMA-CATCH,0.3,1.0,0.42,0.3,1.0,43.0,0.3,1.0,0.43,0.3,1.0,25.0,,,Belefoungou-Mid,,,2017-10-05 00:00:00,,,2017-11-10 11:00:00,0.4,0.4,soil_moisture,AMMA-CATCH/Belefoungou-Mid/AMMA-CATCH_AMMA-CATCH_Belefoungou-Mid_sm_0.400000_0.400000_CS616_20171005_20190311.stm,header_values
6,0.3,1.0,32.0,,,Aw,,,unknown,,,414.0,0.6,0.6,CS616,,,9.79506,,,62,,,62,,,62,,,unknown,,,1.70994,,,AMMA-CATCH,0.3,1.0,0.42,0.3,1.0,43.0,0.3,1.0,0.43,0.3,1.0,25.0,,,Belefoungou-Mid,,,2017-10-05 00:00:00,,,2017-11-10 11:00:00,0.6,0.6,soil_moisture,AMMA-CATCH/Belefoungou-Mid/AMMA-CATCH_AMMA-CATCH_Belefoungou-Mid_sm_0.600000_0.600000_CS616_20171005_20190311.stm,header_values
7,0.3,1.0,32.0,,,Aw,,,unknown,,,414.0,1.0,1.0,CS616,,,9.79506,,,62,,,62,,,62,,,unknown,,,1.70994,,,AMMA-CATCH,0.3,1.0,0.42,0.3,1.0,43.0,0.3,1.0,0.43,0.3,1.0,25.0,,,Belefoungou-Mid,,,2017-10-05 00:00:00,,,2017-11-10 11:00:00,1.0,1.0,soil_moisture,AMMA-CATCH/Belefoungou-Mid/AMMA-CATCH_AMMA-CATCH_Belefoungou-Mid_sm_1.000000_1.000000_CS616_20171005_20190311.stm,header_values
8,0.0,0.3,22.0,,,Aw,,,unknown,,,414.0,0.05,0.05,CS616,,,9.78986,,,62,,,62,,,62,,,unknown,,,1.70994,,,AMMA-CATCH,0.0,0.3,1.01,0.0,0.3,49.0,0.0,0.3,0.43,0.0,0.3,29.0,,,Belefoungou-Top,,,2017-10-05 00:00:00,,,2017-12-31 23:00:00,0.05,0.05,soil_moisture,AMMA-CATCH/Belefoungou-Top/AMMA-CATCH_AMMA-CATCH_Belefoungou-Top_sm_0.050000_0.050000_CS616_20171005_20190311.stm,header_values
